name,lon,lat,May,June,July,Aug,Sep,Oct
1,121.4904727,31.37470948,909.4878805,1083.396345,1001.758414,935.8827877,1137.159445,1283.30473
2,121.4900018,31.37447509,2363.255749,2293.075798,2188.47557,2211.897514,2104.131249,1742.454812
3,121.489531,31.37424069,229.7088399,210.8227084,200.9658307,217.8706903,116.5428549,671.1637531
5,121.4914105,31.37515757,987.5459875,821.5415589,892.397707,872.6123625,657.6332524,772.9494169
6,121.4918813,31.37538433,1213.257338,1221.03034,1324.508718,1487.705045,1557.089822,1248.465037
7,121.4923488,31.37561775,824.3355582,1165.138315,1002.226444,828.2995424,305.75876,578.4554747
12,121.4883094,31.37487483,1935.893143,1918.301977,1993.972454,1847.8965,1258.326313,422.9479526
15,121.4883638,31.37504407,1742.325903,1919.194872,1825.231702,1556.418663,1397.165248,1579.409909
37,121.4933545,31.37614917,1482.926933,1666.994474,1539.867864,1456.93418,1901.013617,1687.565024
38,121.4928872,31.37590824,2062.5656,2374.133649,2530.852481,2188.137161,2411.636448,2516.629128
51,121.4948354,31.37688951,959.8939447,879.625431,1069.300851,925.5652273,967.7449625,458.1854102
52,121.4943687,31.37665864,720.3064741,753.6712584,749.3871652,618.4155271,563.8999664,713.2145504
53,121.4938905,31.37644224,2879.995936,2919.752756,2848.025974,2997.313391,3375.891202,3383.104091
209,121.4738225,31.36940039,960.325843,949.9072083,996.3438824,1235.907727,1393.697615,1662.475591
210,121.4739732,31.36889714,861.0984575,869.0791637,897.6812558,778.9512473,573.739958,674.2644236
211,121.4741132,31.36839055,1994.20658,1929.466961,1803.540403,2031.165357,2456.303171,2472.049345
212,121.4742425,31.36788096,708.5934175,658.9962499,625.0491975,764.9329368,955.4946018,826.8155835
213,121.4743802,31.36737372,3401.6731,3373.17615,3417.491796,3457.727879,3672.8279,3462.632251
216,121.4751428,31.37083448,626.2273235,685.4160042,689.8071247,774.7055734,496.0924711,934.9016053
218,121.4731384,31.37020975,1152.624403,1021.718013,1153.475947,1701.242079,1261.725237,626.4383236
219,121.4726321,31.37006927,1892.708854,1810.806952,1823.006227,2011.966269,2047.554211,2097.882514
220,121.4721277,31.36992082,1953.110555,1780.103225,1955.410441,2375.787833,2326.815613,2814.256363
221,121.4716229,31.36977437,2000.827213,1601.762204,1842.124645,2461.266766,2872.429995,3023.625148
222,121.4711158,31.36963599,2028.66455,1577.04177,1886.430581,2211.285161,2511.781024,2976.97391
223,121.4706101,31.36949326,1991.671047,1530.075983,1887.243151,2355.251891,2144.347268,2228.177746
224,121.4701011,31.36936214,1824.257429,1662.894683,1834.663563,1977.715873,1737.02889,1017.174996
229,121.4675775,31.36863401,1840.763771,1706.050958,1811.445149,2041.966842,1511.017524,1676.041635
230,121.4670729,31.36851429,2039.41701,1713.725196,1956.114641,2224.101121,2137.324978,2237.301695
231,121.4665771,31.36834253,1777.88017,1657.321554,1695.491401,1713.133314,1561.433835,1091.152306
232,121.4660701,31.36821213,1963.761305,1718.580136,1769.917433,2035.730444,2167.305122,1758.613269
235,121.4645619,31.36777396,1549.507936,1201.005054,1525.959986,1733.85125,1160.278368,1752.631289
271,121.4813598,31.37276126,3162.870832,3144.768707,3142.671927,3471.273036,3238.348237,3032.184272
273,121.4822759,31.37304652,0,0,0,0,0,0
