FID,lon,lat,year,month,svid,north_angle
1,121.4904727,31.37470948,2019,6,09000300121906091630044858W,60.652
2,121.4900018,31.37447509,2019,6,09000300121906091629579908W,60.265
3,121.489531,31.37424069,2019,6,09000300121906091629516788W,59.892
5,121.4914105,31.37515757,2019,6,09000300121906091632147268W,61.57
6,121.4918813,31.37538433,2019,6,09000300121906091632216618W,59.861
7,121.4923488,31.37561775,2019,6,09000300121906091632277368W,60.467
12,121.4883094,31.37487483,2019,6,09000300121906091537087448W,346.769
15,121.4883638,31.37504407,2019,6,09000300121906091537101038W,343.841
37,121.4933545,31.37614917,2019,6,09000300121906091632380108W,59.644
38,121.4928872,31.37590824,2019,6,09000300121906091632330018W,56.776
51,121.4948354,31.37688951,2019,6,09000300121906091632572678W,59.929
52,121.4943687,31.37665864,2019,6,09000300121906091632511798W,60.099
53,121.4938905,31.37644224,2019,6,09000300121906091632446208W,62.273
209,121.4738225,31.36940039,2019,6,09000300121906091829007198W,168.211
210,121.4739732,31.36889714,2019,6,09000300121906100830089548W,166.64
211,121.4741132,31.36839055,2019,6,09000300121906100830165488W,167.196
212,121.4742425,31.36788096,2019,6,09000300121906100830241058W,166.822
213,121.4743802,31.36737372,2019,6,09000300121906100830319598W,186.095
216,121.4751428,31.37083448,2019,6,09000300121906071231102998W,75.081
218,121.4731384,31.37020975,2019,6,09000300121906071230533918W,73.065
219,121.4726321,31.37006927,2019,6,09000300121906071230496408W,73.275
220,121.4721277,31.36992082,2019,6,09000300121906071230455118W,72.621
221,121.4716229,31.36977437,2019,6,09000300121906071230406908W,72.585
222,121.4711158,31.36963599,2019,6,09000300121906071230363658W,72.965
223,121.4706101,31.36949326,2019,6,09000300121906071230312488W,72.572
224,121.4701011,31.36936214,2019,6,09000300121906071230271698W,73.475
229,121.4675775,31.36863401,2019,6,09000300121906071230044948W,72.868
230,121.4670729,31.36851429,2019,6,09000300121906071230000648W,72.764
231,121.4665771,31.36834253,2019,6,09000300121906071229551158W,72.269
232,121.4660701,31.36821213,2019,6,09000300121906071229501018W,72.939
235,121.4645619,31.36777396,2019,6,09000300121906071229371798W,74.622
271,121.4813598,31.37276126,2019,6,09000300121906071244101758W,252.477
273,121.4822759,31.37304652,2019,6,09000300121906071243465868W,251.591
276,121.4835763,31.37116002,2019,6,09000300121906091606476028W,55.726
277,121.484047,31.37139448,2019,6,09000300121906091606529478W,60.125
278,121.4845176,31.37162853,2019,6,09000300121906091606577288W,59.993
279,121.4849724,31.37188895,2019,6,09000300121906091607043228W,60.108
280,121.4854437,31.37211652,2019,6,09000300121906091607096738W,60.243
281,121.4859119,31.37234805,2019,6,09000300121906091607142668W,59.704
343,121.4868334,31.37284005,2019,6,09000300121906091609517308W,59.153
344,121.487304,31.37307495,2019,6,09000300121906091609573018W,60.361
345,121.4877882,31.37327549,2019,6,09000300121906091610038388W,60.411
527,121.4625537,31.36675447,2019,6,09000300121906081817284758W,166.927
528,121.4627201,31.36625732,2019,6,09000300121906081817351848W,164.021
529,121.4628852,31.36576004,2019,6,09000300121906081817406288W,161.312
530,121.4630593,31.36526607,2019,6,09000300121906081817489588W,160.901
531,121.4632525,31.36478098,2019,6,09000300121906081817552768W,164.117
532,121.4634084,31.36428051,2019,6,09000300121906081818012518W,161.474
533,121.4635825,31.3637864,2019,6,09000300121906081818064778W,163.056
534,121.4637455,31.36328842,2019,6,09000300121906081818119688W,163.846
535,121.4639133,31.36279181,2019,6,09000300121906081818185288W,162.807
536,121.4641066,31.36230742,2019,6,09000300121906081818245158W,162.483
537,121.4642875,31.36181489,2019,6,09000300121906081818311258W,162.218
538,121.4644727,31.36132333,2019,6,09000300121906081818399488W,166.084
587,121.4913628,31.36536008,2019,6,09000300121906091040269888W,68.662
588,121.4908758,31.36516764,2019,6,09000300121906091040204978W,67.552
589,121.4903955,31.36495924,2019,6,09000300121906091040154158W,66.79
590,121.4899084,31.36477172,2019,6,09000300121906091040096758W,68.035
591,121.489404,31.36463235,2019,6,09000300121906091040044538W,67.488
592,121.4889033,31.36447644,2019,6,09000300121906091039589498W,68.179
593,121.4884223,31.36427126,2019,6,09000300121906091039548288W,68.638
595,121.4874425,31.36391078,2019,6,09000300121906091033175758W,124.018
825,121.5529455,31.36792993,2019,5,09000300121905221010150478X,113.031
836,121.5538925,31.36773089,2019,5,09000300121905221010213438X,107.871
838,121.5548739,31.36736071,2019,5,09000300121905221010282888X,107.552
877,121.4406677,31.35989465,2019,6,09000300121906071257272308W,158.49
878,121.4409075,31.35943066,2019,6,09000300121906071257382978W,158.197
879,121.4411514,31.35896983,2019,6,09000300121906071301332378W,89.767
892,121.4484325,31.3611222,2019,6,09000300121906081022038178W,155.973
908,121.447171,31.35931854,2019,6,09000300121906080754582738W,247.944
913,121.4517706,31.36425738,2019,6,09000300121906070939327038W,156.566
914,121.447928,31.36226672,2019,6,09000300121906081023175128W,338.825
915,121.4481218,31.36178262,2019,6,09000300121906081023114718W,337.906
917,121.4533406,31.36073349,2019,6,09000300121906070942044348W,160.804
918,121.4535737,31.36026201,2019,6,09000300121906070942103378W,160.607
927,121.4532711,31.36168392,2019,6,09000300121906071023587438W,339.567
928,121.4536829,31.3607216,2019,6,09000300121906071023443558W,340.93
929,121.4528049,31.36207967,2019,6,09000300121906070941397498W,160.679
930,121.4530215,31.36229051,2019,6,09000300121906071024140488W,341.004
931,121.4524992,31.36279403,2019,6,09000300121906070939507158W,160.628
932,121.4527369,31.36301198,2019,6,09000300121906071024486748W,341.128
1028,121.5216583,31.35927996,2019,5,09000300121905211251209518X,72.805
1079,121.5220572,31.35933576,2019,5,09000300121905211251292708X,70.279
1080,121.5230764,31.35948395,2019,5,09000300121905211253121488X,81.588
1081,121.5235799,31.35962628,2019,5,09000300121905211253204998X,67.57
1082,121.5240875,31.35975471,2019,5,09000300121905211253277498X,73.411
1083,121.5245977,31.35987662,2019,5,09000300121905211253357038X,80.15
1084,121.5251191,31.3598655,2019,5,09000300121905211253454848X,94.138
1085,121.5225758,31.36002262,2019,5,09000300121905211251523488X,356.195
1177,121.5490752,31.36405857,2019,5,09000300121905210948536238X,111.395
1178,121.5495653,31.36387282,2019,5,09000300121905210948576708X,110.435
1179,121.550059,31.36369984,2019,5,09000300121905210954225998X,291.454
1180,121.55055,31.36352929,2019,5,09000300121905210949044868X,111.087
1182,121.5515278,31.36317345,2019,5,09000300121905210954125998X,291.071
1183,121.5520145,31.36298072,2019,5,09000300121905210949169238X,112.821
1185,121.5530036,31.36263754,2019,5,09000300121905210954024178X,291.017
1186,121.5534915,31.36244753,2019,5,09000300121905210949276278X,111.273
1187,121.553978,31.36225453,2019,5,09000300121905210949316278X,111.215
1188,121.5544775,31.36209637,2019,5,09000300121905210953534018X,291.405
1189,121.5549623,31.36189729,2019,5,09000300121905210949381318X,110.821
1191,121.5559508,31.36154725,2019,5,09000300121905210949457728X,111.871
1193,121.5569386,31.36118875,2019,5,09000300121905210949523798X,110.925
1194,121.5574363,31.36101878,2019,5,09000300121905210949550508X,110.746
1195,121.5579237,31.36082276,2019,5,09000300121905210949578638X,111.18
1196,121.5584227,31.36065655,2019,5,09000300121905210953242478X,290.56
1197,121.5589217,31.36049034,2019,5,09000300121905210950046768X,110.32
1199,121.5599147,31.36014771,2019,5,09000300121905210953143728X,291.199
1201,121.5608914,31.35977651,2019,5,09000300121905210953071148X,290.9
1202,121.5613788,31.35959637,2019,5,09000300121905210950209458X,111.551
1203,121.5618713,31.35942741,2019,5,09000300121905210950236638X,111.247
1204,121.5623669,31.3592572,2019,5,09000300121905210950277668X,110.736
1206,121.5633501,31.3588953,2019,5,09000300121905210950330948X,111.081
1213,121.5667991,31.35767689,2019,5,09000300121905210950577008X,108.827
1214,121.5672861,31.35748372,2019,5,09000300121905210951040798X,109.721
1275,121.4210719,31.35455623,2019,6,09000300121906071121033388W,78.393
1276,121.4222619,31.35425425,2019,6,09000300121906081144458038W,162.783
1277,121.4224454,31.35376204,2019,6,09000300121906081144516148W,162.834
1278,121.4226139,31.3532638,2019,6,09000300121906081144585258W,162.567
1279,121.4228059,31.35277469,2019,6,09000300121906081145043058W,162.982
1280,121.4229832,31.35227959,2019,6,09000300121906081145110068W,162.957
1281,121.4231612,31.35178518,2019,6,09000300121906081145184768W,164.285
1282,121.4233367,31.35129035,2019,6,09000300121906081145548248W,163.923
1287,121.421275,31.35509617,2019,6,09000300121906071119464788W,257.852
1288,121.4239676,31.35502488,2019,6,09000300121906071121268548W,76.175
1289,121.4218864,31.35519742,2019,6,09000300121906071119422258W,257.353
1290,121.4226143,31.35539285,2019,6,09000300121906071119367268W,256.877
1291,121.4231609,31.3554588,2019,6,09000300121906071119326238W,255.924
1293,121.4254715,31.35535253,2019,6,09000300121906071121411038W,74.501
1294,121.4259809,31.35546355,2019,6,09000300121906071121455048W,73.718
1295,121.4264906,31.35558135,2019,6,09000300121906071121496858W,72.763
1296,121.4270006,31.35569481,2019,6,09000300121906071121553648W,73.744
1299,121.4298699,31.35339358,2019,6,09000300121906071112016318W,357.021
1303,121.4298174,31.35480903,2019,6,09000300121906071112118238W,357.755
1309,121.4293634,31.35633222,2019,6,09000300121906071053331618W,176.378
1311,121.4279789,31.35594807,2019,6,09000300121906071122070468W,96.954
1318,121.4327313,31.35715133,2019,6,09000300121906081008026018W,157.432
1319,121.4329677,31.35668153,2019,6,09000300121906081008105358W,156.804
1320,121.4332022,31.35621075,2019,6,09000300121906081008191208W,159.76
1321,121.4334368,31.35573996,2019,6,09000300121906081008257998W,158.123
1322,121.4336713,31.35526918,2019,6,09000300121906081008313638W,157.5
