name,PF,PD_5,PD_6,PD_7,PD_8,PD_9,PD_10
1,0.086184131,0.217787855,0.272475397,0.246803399,0.226088041,0.28938183,0.335338917
2,0.252620943,0.543214189,0.521145286,0.488252526,0.495617829,0.461729472,0.347996104
3,0.046304686,0.035586362,0.029647398,0.026547788,0.031863718,0,0.174407001
5,0.058663224,0.264115804,0.211913778,0.234195319,0.227973587,0.160370902,0.196633413
6,0.110808957,0.29382216,0.296266471,0.328806452,0.380125438,0.401944289,0.304893631
7,0.061644447,0.210432868,0.317602264,0.266372729,0.211679389,0.047360354,0.133113012
12,0.168045241,0.475763236,0.470231489,0.494026952,0.448091667,0.262694455,0
15,0.169046146,0.414101588,0.469720095,0.440172282,0.355640891,0.3055618,0.362870756
37,0.169965986,0.331802545,0.389684727,0.349708284,0.323628821,0.463274772,0.396153376
38,0.310980866,0.402469186,0.500445388,0.54972745,0.441956626,0.51223858,0.545254751
51,0.035841952,0.273482397,0.248241028,0.307886673,0.262687332,0.275951241,0.115714305
52,0.027606708,0.204659184,0.215151129,0.213803946,0.172618389,0.155475336,0.202429046
53,0.361969744,0.619164072,0.631666067,0.609110745,0.656055912,0.775104114,0.777372291
209,0.072531129,0.244580235,0.241303974,0.255906527,0.331240168,0.380859036,0.465379401
210,0.046369062,0.23408323,0.236592856,0.245587117,0.208251083,0.143720003,0.175331092
211,0.231057072,0.444229298,0.423871171,0.384272098,0.455851416,0.589540953,0.594492521
212,0.12529979,0.123655813,0.108059406,0.09738436,0.141372431,0.201296766,0.16083215
213,0.415940004,0.740496287,0.731535089,0.74547066,0.758123365,0.825764072,0.759665602
216,0.023388357,0.178413551,0.197026121,0.19840696,0.225104266,0.137491131,0.275479774
218,0.035200082,0.334596748,0.293431709,0.334864526,0.507115966,0.368904776,0.169131407
219,0.114617043,0.504469659,0.478714652,0.482550856,0.541971542,0.553162585,0.568988906
220,0.157615928,0.489431825,0.435027655,0.490155051,0.622347618,0.606947733,0.760229154
221,0.177647236,0.488582926,0.363092286,0.438677055,0.633373506,0.762668572,0.810213649
222,0.131977117,0.533482725,0.391464682,0.488755597,0.590909903,0.685404327,0.831689648
223,0.128398478,0.524682033,0.379528089,0.491843465,0.639014264,0.572692849,0.599054319
224,0.082476037,0.508382598,0.457640203,0.511654928,0.556639393,0.480952568,0.254586127
229,0.07810211,0.517034993,0.47467298,0.507815411,0.580305642,0.413342445,0.465236199
230,0.12706838,0.540749025,0.438331441,0.514553625,0.598825095,0.571537326,0.602976169
231,0.090195555,0.487689047,0.449777986,0.461780939,0.467328644,0.419624976,0.271739472
232,0.106696691,0.533081563,0.455981489,0.4721251,0.555713097,0.597088287,0.468570374
235,0.063982461,0.436621326,0.327030536,0.429216399,0.494590228,0.314223555,0.50049583
271,0.364269384,0.706297307,0.700604883,0.699945526,0.803277972,0.730032056,0.665201396
273,0,0,0,0,0,0,0
276,0.154896527,0.443805369,0.444929341,0.435933493,0.381805522,0.26232287,0.11587825
277,0.254220117,0.355159316,0.443847161,0.461232157,0.332563339,0.444415207,0.55717731
278,0.230847543,0.591070608,0.618270767,0.646692233,0.59070259,0.535611197,0.324943475
279,0.337533006,0.707124967,0.690264697,0.68484517,0.649547917,0.606364247,0.618024692
280,0.261621147,0.68003497,0.665131739,0.672509103,0.680365689,0.556097357,0.453277615
281,0.141831831,0.322895727,0.325999467,0.380521074,0.339023567,0.348270483,0.229494054
343,0.198810742,0.58901264,0.747901514,0.696670613,0.548594495,0.426376388,0.282169767
344,0.188336083,0.454748563,0.55015335,0.463106213,0.420222731,0.432152754,0.41700456
345,0.228707723,0.435464443,0.465003545,0.452360672,0.478814364,0.408039598,0.340444755
527,0.448982205,0.706984411,0.687788118,0.72059539,0.734581145,0.85881841,0.860786834
528,0.378331896,0.613101024,0.605966844,0.623417267,0.570766302,0.516788813,0.532379776
529,0.335297057,0.377943347,0.360085617,0.418253396,0.453217168,0.471961042,0.477236742
530,0.422549483,0.62363831,0.680730787,0.665693172,0.676191571,0.739939761,0.732138927
531,0.436776872,0.692056209,0.755076367,0.669686276,0.702010368,0.708048867,0.810591121
532,0.33231969,0.388808738,0.420485622,0.380386401,0.361259285,0.471028723,0.630210299
533,0.349243396,0.580927603,0.537948339,0.515039004,0.626903924,0.599835978,0.714665184
534,0.313515289,0.424242746,0.387146671,0.414718113,0.412143143,0.509467751,0.513882018
535,0.407284597,0.595040297,0.539964925,0.600373934,0.70171942,0.806749658,0.676850484
536,0.420994093,0.705756165,0.752186154,0.775613187,0.611279801,0.608843051,0.610222283
537,0.375561736,0.45315402,0.436375656,0.432086457,0.428847641,0.436960338,0.485214357
538,0.442452529,0.775783983,0.78975547,0.839900441,0.786427389,0.738258885,0.792202896
587,0.254147042,0.572506278,0.568036536,0.524521026,0.498511026,0.470080624,0.341052165
588,0.054396509,0.166022681,0.187991708,0.217498425,0.226805267,0.254471006,0.097117113
589,0.006580918,0.108610696,0.048766813,0.052685074,0.090774593,0.146427932,0.251619019
590,0.195811004,0.70438769,0.824091339,0.841816333,0.609556716,0.483627119,0.414475061
591,0.063945634,0.378645844,0.409008608,0.37302879,0.379764957,0.208424121,0.134164303
592,0.233561207,0.428326591,0.414081495,0.415650188,0.505145956,0.504851733,0.466627231
593,0.189997571,0.498213273,0.474011891,0.493041113,0.55609526,0.474339141,0.335413281
595,0.316679141,0.607550082,0.65352686,0.641258331,0.675514751,0.553120781,0.307341193
825,0.375043077,0.83564273,0.928728674,0.860123476,0.800174705,0.617192739,0.571992684
836,0.362027634,0.715132695,0.913221402,0.824954065,0.549504608,0.549222182,0.568597819
838,0.242195814,0.536580934,0.627060152,0.653984621,0.455794744,0.324985781,0.197171736
877,0.392754673,0.668685739,0.673092112,0.669025185,0.683099718,0.69527533,0.732294956
878,0.389975952,0.606585558,0.739699083,0.639218138,0.649632587,0.6930983,0.629974851
879,0.415261105,0.822933531,0.821825,0.820936614,0.87412761,0.79474804,0.623059208
892,0.388272961,0.495182179,0.542015313,0.553283415,0.587677451,0.640573315,0.552703937
908,0.417016033,0.928552407,0.982091127,0.964032472,0.910084453,0.809461923,0.777769675
913,0.298140943,0.648008563,0.599087476,0.587728818,0.615732796,0.626171018,0.455940772
914,0.277833807,0.407589131,0.370501458,0.402348857,0.405263353,0.357138434,0.333384965
915,0.329623393,0.48394384,0.530230845,0.556151062,0.509345255,0.453048292,0.424346983
917,0.445838584,0.791211079,0.787854928,0.786142348,0.779353812,0.760848942,0.712199522
918,0.458147773,0.740780484,0.806134496,0.787665044,0.699160995,0.789991864,0.82748828
927,0.449201608,0.672838364,0.700175475,0.716136521,0.68117434,0.721300303,0.709612011
928,0.459249218,0.756721911,0.822974578,0.857882075,0.791928074,0.754754104,0.74181582
929,0.42335748,0.68347088,0.689433301,0.706675419,0.709103559,0.662997879,0.687101788
930,0.437306563,0.639965646,0.631948065,0.715981441,0.7003356,0.740563815,0.659704058
931,0.422494748,0.633578647,0.606102598,0.623042138,0.681292807,0.677445423,0.667390674
932,0.411397224,0.757467645,0.700816408,0.786145891,0.752654311,0.670754671,0.626823878
1028,0.449178848,0.829884745,0.790579878,0.768074138,0.892423792,0.929512349,0.965162264
1079,0.402344447,0.790555211,0.734002468,0.751162753,0.820794124,0.858931252,0.844558456
1080,0.33826209,0.658040195,0.60809204,0.665631833,0.758189333,0.894200877,0.895732552
1081,0.469420319,0.860397704,0.928723671,0.892271105,0.910086262,0.842293879,0.895674924
1082,0.432811427,0.84321415,0.80495576,0.857331431,0.856312346,0.929388442,0.912940048
1083,0.386706954,0.726202899,0.689298445,0.806904457,0.840280097,0.911548463,0.947714533
1084,0.432071978,0.825261242,0.822193596,0.838907845,0.820748074,0.893895749,0.931815828
1085,0.416432338,0.756198069,0.787267902,0.751276703,0.838555362,0.929147631,0.686165646
1177,0.454468047,0.75650089,0.770394407,0.787062892,0.874076462,0.8253137,0.827813295
1178,0.472746813,0.894770934,0.946343591,0.928262419,0.874426742,0.929140953,0.930681095
1179,0.440461833,0.827305642,0.823327949,0.80497774,0.856549668,0.842306558,0.930303845
1180,0.422117467,0.877680005,0.857072446,0.892325926,0.83886503,0.843794489,0.827990999
1182,0.446385272,0.811036743,0.741070184,0.739334208,0.840140306,0.841710373,0.930399675
1183,0.45699561,0.877366631,0.892787446,0.892342173,0.928011836,0.842066621,0.79304691
1185,0.468753381,0.895278393,0.910790822,0.928136804,0.839033907,0.85891213,0.878426884
1186,0.463435391,0.878193115,0.892682452,0.87453787,0.910077879,0.876516786,0.844293403
1187,0.443812132,0.8947678,0.910675176,0.946109909,0.856411124,0.876607943,0.828397502
1188,0.448013697,0.860581237,0.875386325,0.857302543,0.875486324,0.858858261,0.843654205
1189,0.448402838,0.877365831,0.856972242,0.928113737,0.874771262,0.860125338,0.796156499
1191,0.451620112,0.929806179,0.982065646,0.964465913,0.927883788,0.844754503,0.780467088
1193,0.449011333,0.842525852,0.910649248,0.892596663,0.856285618,0.876480547,0.85436107
1194,0.438813941,0.912271051,0.910636871,0.892315164,0.87453852,0.842412666,0.915766664
1195,0.465533909,0.894796925,0.892811902,0.946165124,0.94593001,0.893939266,0.794868487
1196,0.397757309,0.895161676,0.910653492,0.946109729,0.874212007,0.901971382,0.712808728
1197,0.441516819,0.740813784,0.754029607,0.787834107,0.804122023,0.858652327,0.912938662
1199,0.399059469,0.74522368,0.725805326,0.738292188,0.787621876,0.859275565,0.913143105
1201,0.45247592,0.912987817,0.928500874,0.928179991,0.822281851,0.859692024,0.828374943
1202,0.46564362,0.91227923,0.982065506,0.946061236,0.910199339,0.842283951,0.878504241
1203,0.45534832,0.895241864,0.946226116,0.928134715,0.910083639,0.809749599,0.794864771
1204,0.458618465,0.843420716,0.928485679,0.803684563,0.856299196,0.894591627,0.86111031
1206,0.469894309,0.894867738,0.910450277,0.89231393,0.892280713,0.883103027,0.82817782
1213,0.471519039,0.89479497,0.946532142,0.946099278,0.875903614,0.877470222,0.865729062
1214,0.486117797,0.912239736,0.964152103,0.928104123,0.87426973,0.893995944,0.947679952
1275,0.350360795,0.859194559,0.857297656,0.856837623,0.874726014,0.846521763,0.375915461
1276,0.208031236,0.275003317,0.307389956,0.328634516,0.265846192,0.378851576,0.473844566
1277,0.416642981,0.804577178,0.75195849,0.750693664,0.736017297,0.724108484,0.810476881
1278,0.284919175,0.306980786,0.251178533,0.273418827,0.339003346,0.426602618,0.498162547
1279,0.31881246,0.645407664,0.565148649,0.559398517,0.698468685,0.52989783,0.359155892
1280,0.234514665,0.316738447,0.317412228,0.351679302,0.319962525,0.330211663,0.351221554
1281,0.365831798,0.479637512,0.524117373,0.47938693,0.459333238,0.545406559,0.625424036
1282,0.428506021,0.787226958,0.789030548,0.772789793,0.821735328,0.826604045,0.644785298
1287,0.142321654,0.667712457,0.638367805,0.587023474,0.559463095,0.337441431,0.177577871
1288,0.31162678,0.770071058,0.718207921,0.751958826,0.822293199,0.816126719,0.464623823
1289,0.248545395,0.691253503,0.601786584,0.700954351,0.736693231,0.58613849,0.200921541
1290,0.28277016,0.628915604,0.687214247,0.723072547,0.515689542,0.514390729,0.355489624
1291,0.072537777,0.523883518,0.569652323,0.56886844,0.448046789,0.462485327,0.339683103
1293,0.065545395,0.517073714,0.40092455,0.474695774,0.549687815,0.242642794,0.287359362
1294,0.082811044,0.536370484,0.407621897,0.451852887,0.605626718,0.582479618,0.335249262
1295,0.213631801,0.635644751,0.567954836,0.581161043,0.661623721,0.632177862,0.520134328
1296,0.176951868,0.58773812,0.531507695,0.573285228,0.658574439,0.519802783,0.452855449
1299,0.346020983,0.704729669,0.684120773,0.683173211,0.736656589,0.669284238,0.58445734
1303,0.409989531,0.725193683,0.759330584,0.725297147,0.738640783,0.710556173,0.769665013
1309,0.468621216,0.842041834,0.771685907,0.805703104,0.821646812,0.842435607,0.810456847
1311,0.361609826,0.822990763,0.752960851,0.786908163,0.857095448,0.894069341,0.751107694
1318,0.179535978,0.224098834,0.21531029,0.257908342,0.238239182,0.195924934,0.084022642
1319,0.027112766,0.180787479,0.14536051,0.159834512,0.151851664,0.197836796,0.047436477
1320,0.034233713,0.301303488,0.32314224,0.408373886,0.201861146,0.19947918,0.129374635
1321,0.08490788,0.126330966,0.129699235,0.167892906,0.220364811,0.418225061,0.286613377
1322,0.344499295,0.790158459,0.789524257,0.805718822,0.736636188,0.53059877,0.49441967
1323,0.293660179,0.66278315,0.627113359,0.687560075,0.657633168,0.509603957,0.405270233
1329,0.418127571,0.910763087,0.928498888,0.928242488,0.87400733,0.807927662,0.764669223
1330,0.310076451,0.78725257,0.668140121,0.698986448,0.804457279,0.911676657,0.784058182
1331,0.213128934,0.735668775,0.684202214,0.734853958,0.803751366,0.809031856,0.322726274
1332,0.291123876,0.827370502,0.839602204,0.886044651,0.845139033,0.665317898,0.255854589
1333,0.365767526,0.910928169,0.875929395,0.857592089,0.910062741,0.933665383,0.599229128
1341,0.375607034,0.788766896,0.770732025,0.734181859,0.85722883,0.878754135,0.643219995
1348,0.289347882,0.539429053,0.533495639,0.50596915,0.536510806,0.358514854,0.424350006
1349,0.367907754,0.616340442,0.58137708,0.629810492,0.631106433,0.627843226,0.632342151
1350,0.340853347,0.446968226,0.387404053,0.390711173,0.472679256,0.50104755,0.625169829
1351,0.360855818,0.659597294,0.694203804,0.692631725,0.605983188,0.505957062,0.475486234
1352,0.461831471,0.910854869,0.876414835,0.859286403,0.858831629,0.87729431,0.930661212
1370,0.304859428,0.842058019,0.827148432,0.901453924,0.856167056,0.678496143,0.734132976
1371,0.477676506,0.846295024,0.860042986,0.824804629,0.788889493,0.808308484,0.82732642
1372,0.446571687,0.874530048,0.81089719,0.832544262,0.866418172,0.899882396,0.947729099
1373,0.459559226,0.912741694,0.932707394,0.946104259,0.861641693,0.896881828,0.895788997
1374,0.30198195,0.672403184,0.755173205,0.737849742,0.68408843,0.575079624,0.571679661
1375,0.322334714,0.707978129,0.790909935,0.7507954,0.708238606,0.501455333,0.524940472
1376,0.26343345,0.461614115,0.646913866,0.631331589,0.477351644,0.492679897,0.166756806
1377,0.292430314,0.541321037,0.664774151,0.639514279,0.626493918,0.707340955,0.754175273
1378,0.370669751,0.810865122,0.876174184,0.911246432,0.670060711,0.525593404,0.407668619
1379,0.31900927,0.751396302,0.861301287,0.893473058,0.627376324,0.604698078,0.452746514
1380,0.362311047,0.843381981,0.807677387,0.839921366,0.816779473,0.591650838,0.545829919
1381,0.407612068,0.895303889,0.911506315,0.910972268,0.87425991,0.792754164,0.693709557
1382,0.436657839,0.877916926,0.875225917,0.892800606,0.910139748,0.807292435,0.88128038
1383,0.371355516,0.697448271,0.841140529,0.772925301,0.617304132,0.726013106,0.718125282
1384,0.459733021,0.912489522,0.946283565,0.946256445,0.910447625,0.946950009,0.757998184
1385,0.428663029,0.947360835,0.964217782,0.964031446,0.910047152,0.84400678,0.727161508
1386,0.416736541,0.929800457,0.94634615,0.928131,0.857186988,0.704747451,0.694447587
1387,0.391454653,0.811986168,0.875645271,0.824947837,0.804943138,0.708590145,0.685641546
1388,0.444990154,0.878258869,0.946430156,0.964075496,0.869064991,0.841173728,0.861343791
1389,0.165723207,0.582682294,0.566610039,0.567457351,0.6420701,0.598177418,0.592538163
1390,0.386071243,0.691837097,0.740696004,0.708639092,0.63170387,0.547174731,0.572383316
