FID,lng,lat
0,121.490727,31.37620006
1,121.4904727,31.37470948
2,121.4900018,31.37447509
3,121.489531,31.37424069
4,121.4911222,31.37440531
5,121.4914105,31.37515757
6,121.4918813,31.37538433
7,121.4923488,31.37561775
8,121.4928079,31.3758694
9,121.487798,31.37467366
10,121.4884093,31.37430554
11,121.4877797,31.37485514
12,121.4883094,31.37487483
13,121.4888295,31.37455139
14,121.4885326,31.3741331
15,121.4883638,31.37504407
16,121.4892957,31.3754424
17,121.4897655,31.37567667
18,121.4902134,31.375951
19,121.4937135,31.37477464
20,121.4925944,31.37714534
21,121.4934927,31.3772128
22,121.4939396,31.37748768
23,121.4947277,31.37772274
24,121.4952012,31.37804146
25,121.4953627,31.37784633
26,121.4958291,31.37825508
27,121.4968533,31.37847606
28,121.4973735,31.37854628
29,121.4978861,31.378663
30,121.4925134,31.3762971
31,121.4927374,31.37525902
32,121.4923073,31.37496251
33,121.4918365,31.37472852
34,121.4913694,31.37448771
35,121.4928712,31.37585751
36,121.4934778,31.37682328
37,121.4933545,31.37614917
38,121.4928872,31.37590824
39,121.4940471,31.375954
40,121.4938506,31.37539879
41,121.4943564,31.37555017
42,121.4941827,31.3748245
43,121.4948311,31.37589164
44,121.494346,31.37569124
45,121.4953404,31.37493846
46,121.4949211,31.37464993
47,121.4950284,31.37533699
48,121.4954179,31.37603791
49,121.4958041,31.37727069
50,121.4953111,31.37710152
51,121.4948354,31.37688951
52,121.4943687,31.37665864
53,121.4938905,31.37644224
54,121.4964951,31.37782052
55,121.4963624,31.37831476
56,121.4957026,31.37642636
57,121.4961612,31.37668017
58,121.4961828,31.37577687
59,121.4986564,31.37872208
60,121.4991817,31.37874239
61,121.4997077,31.37874244
62,121.5002336,31.37874249
63,121.5007596,31.37874253
64,121.5012855,31.37874011
65,121.5018063,31.37867354
66,121.5023305,31.37864301
67,121.5028564,31.37863716
68,121.5033786,31.37859436
69,121.5038835,31.37845156
70,121.5044038,31.37837627
71,121.5049273,31.37833447
72,121.505451,31.37828898
73,121.5059745,31.37823964
74,121.5064818,31.37813814
75,121.4980222,31.37909355
76,121.4982222,31.37912369
77,121.4967001,31.37657166
78,121.4966574,31.3755344
79,121.4965204,31.37504458
80,121.4961813,31.37464703
81,121.4957651,31.37433589
82,121.4953437,31.37402965
83,121.5071242,31.37797319
84,121.5070156,31.37785559
85,121.5113106,31.37752106
86,121.5118357,31.37750285
87,121.5123558,31.3774329
88,121.5128743,31.37736531
89,121.5133972,31.37732161
90,121.5139196,31.37726571
91,121.5144421,31.37721415
92,121.5149649,31.37717796
93,121.5154831,31.37711067
94,121.5160016,31.37705613
95,121.5165215,31.37700801
96,121.5170342,31.37691013
97,121.5175515,31.37684452
98,121.5180727,31.37679578
99,121.5185856,31.37670339
100,121.5191015,31.3766332
101,121.5196238,31.37658773
102,121.5201384,31.37649937
103,121.5206541,31.37642346
104,121.5211741,31.37634948
105,121.5216953,31.37629209
106,121.5107466,31.37758443
107,121.5107324,31.37741695
108,121.5097145,31.37764911
109,121.5112061,31.37719
110,121.5116575,31.37692784
111,121.5121514,31.37675638
112,121.5094211,31.3776267
113,121.5091207,31.37782752
114,121.5084575,31.37731472
115,121.5079584,31.37715501
116,121.5075078,31.37689516
117,121.5071392,31.37652242
118,121.5068189,31.3761065
119,121.5065043,31.37568579
120,121.506177,31.37527399
121,121.5058359,31.37487398
122,121.5054982,31.37447146
123,121.505177,31.37405544
124,121.5048557,31.37364256
125,121.5045163,31.37324163
126,121.5041578,31.37285766
127,121.5077093,31.37778382
128,121.5082293,31.37772113
129,121.5087553,31.37772274
130,121.5119448,31.37627745
131,121.5118548,31.37576027
132,121.5117473,31.37524642
133,121.5116523,31.3747305
134,121.5114911,31.37423475
135,121.5112945,31.3737478
136,121.5110918,31.37326486
137,121.5110161,31.3727456
138,121.5109375,31.37222967
139,121.5106977,31.37177098
140,121.5132812,31.37622355
141,121.512793,31.37641849
142,121.5123205,31.37664887
143,121.5142236,31.37577954
144,121.5146797,31.37552111
145,121.5151497,31.37528585
146,121.5156212,31.37505365
147,121.5160759,31.37479373
148,121.5165452,31.37456321
149,121.5170105,31.37432456
150,121.5174927,31.37411692
151,121.5179732,31.37390908
152,121.5184966,31.37386657
153,121.5190212,31.37384371
154,121.5195353,31.37393535
155,121.5200425,31.3740729
156,121.5205416,31.37423885
157,121.5210407,31.37440479
158,121.5215398,31.37457074
159,121.5220252,31.37477113
160,121.5225026,31.37499056
161,121.5135505,31.37546371
162,121.5134594,31.37494639
163,121.5132836,31.37445185
164,121.5130934,31.37396371
165,121.5129362,31.37346479
166,121.5128696,31.37294558
167,121.5127198,31.37244177
168,121.5125682,31.37193845
169,121.5125226,31.37141738
170,121.5124617,31.37089795
171,121.5123913,31.37037779
172,121.5123318,31.36985695
