name,PF,PD_5,PD_6,PD_7,PD_8,PD_9,PD_10
1,0.145337904,0.345395411,0.323151824,0.324897018,0.335053764,0.23571428,0.239761365
2,0.151435741,0.38332357,0.397164481,0.400572212,0.38267958,0.403544785,0.292384197
3,0.029243102,0.081205704,0.08216081,0.088663844,0.016005397,0,0.068167077
5,0.096139956,0.269564201,0.239163105,0.252224174,0.283754591,0.25877582,0.107879613
6,0.093286872,0.179816086,0.213267038,0.174710086,0.181081157,0.17887862,0.307943582
7,0.106273861,0.393540441,0.439192363,0.348917335,0.411175851,0.286592982,0.221624212
12,0.258830336,0.495395347,0.564160852,0.564289762,0.439494191,0.399209965,0.319246505
15,0.160935502,0.437058721,0.437226178,0.432069617,0.40153466,0.367282663,0.480426136
37,0.166253073,0.290495691,0.230126385,0.314591822,0.426795756,0.451776961,0.33145524
38,0.297180113,0.403167397,0.466109156,0.414787489,0.357375337,0.426928181,0.548472134
51,0.173651995,0.294856537,0.333820343,0.339587911,0.330422413,0.295130625,0.271610816
52,0.165652269,0.376377064,0.36793985,0.420803566,0.474229485,0.290374404,0.29631006
53,0.344657393,0.519503757,0.545161779,0.578230697,0.625182918,0.724791972,0.759328994
209,0.15735291,0.456773194,0.591006951,0.584273185,0.427537461,0.200039399,0.404586514
210,0.091330297,0.18500707,0.24580021,0.249325617,0.17621413,0.284550977,0.359388187
211,0.170537346,0.376562529,0.411643362,0.438793552,0.437402613,0.420699832,0.332237298
212,0.206684005,0.187218422,0.213560737,0.159199806,0.22077931,0.302253944,0.379646102
213,0.408726399,0.826344773,0.880774621,0.870672206,0.850494346,0.739128947,0.810528588
216,0.01681875,0.214536376,0.270314852,0.243612435,0.2268853,0.289226413,0.149413754
218,0.018787002,0.264748431,0.217318194,0.247370877,0.347028329,0.132599982,0.183758871
219,0.123823879,0.500344767,0.528711612,0.466701961,0.520420973,0.399268528,0.376012923
220,0.227897306,0.522578839,0.598200904,0.640798601,0.577701423,0.687407643,0.596996942
221,0.269875112,0.682383039,0.631174598,0.681250357,0.7371404,0.694101274,0.654702573
222,0.189320836,0.593434584,0.595017567,0.600302455,0.696871553,0.691978792,0.768611705
223,0.088119417,0.43703479,0.356042632,0.360633697,0.395809685,0.303961547,0.272335419
224,0.10284726,0.355395111,0.370843697,0.342332141,0.381728922,0.230724054,0.046581485
229,0.02445118,0.271501881,0.340487203,0.294210315,0.28665996,0.133734642,0.093221951
230,0.079215998,0.250464546,0.280369637,0.303228602,0.322805286,0.340268739,0.090569821
231,0.052453279,0.264733899,0.305241437,0.246753071,0.238066537,0.225487486,0.17270613
232,0.055309994,0.234300755,0.256547399,0.307528266,0.245530929,0.389761425,0.522339146
235,0.016641087,0.190683079,0.276051708,0.231926188,0.153451095,0.199727611,0.333579001
271,0.38431316,0.723152155,0.688472241,0.668328581,0.82207884,0.8070945,0.687582164
273,0.467639643,0.895348311,0.857140606,0.874491979,0.909994336,0.911854274,0.947773159
276,0.200817724,0.355521961,0.389057382,0.353137931,0.40440991,0.259860979,0.225356025
277,0.265471945,0.458200839,0.526782884,0.450996227,0.365619271,0.412005795,0.508110766
278,0.231764967,0.396172075,0.491853095,0.450337052,0.417499165,0.438283695,0.519997427
279,0.258793797,0.43922407,0.480802662,0.517672267,0.412932044,0.473193948,0.586739234
280,0.219019938,0.3913301,0.419432592,0.443091625,0.368781607,0.304721053,0.236938082
281,0.189046758,0.470189231,0.495635951,0.496560576,0.423610752,0.293958711,0.208696746
343,0.169558155,0.347781249,0.406464758,0.369388359,0.397605001,0.354967693,0.298054906
344,0.260188228,0.498637831,0.509795379,0.539154708,0.61520432,0.566444855,0.41974955
