name,lon,lat,May,June,July,Aug,Sep,Oct
1,121.490473,31.3747095,1621.014487,1540.879789,1547.167021,1583.757692,1225.877483,1240.457503
2,121.490002,31.3744751,1773.459056,1823.322292,1835.598976,1771.139019,1846.307961,1445.841069
3,121.489531,31.3742407,368.345163,371.7860258,395.213842,133.4546788,75.79367034,321.3722337
5,121.491411,31.3751576,1220.31154,1110.788618,1157.842397,1271.433809,1181.445343,637.8269952
6,121.491881,31.3753843,889.5904169,1010.100744,871.1955524,894.1479589,886.2131039,1351.182255
7,121.492349,31.3756178,1693.213613,1857.679128,1532.454508,1756.746903,1307.924929,1073.86858
12,121.488309,31.3748748,2455.559044,2703.293503,2703.757913,2254.169661,2109.041796,1820.965609
15,121.488364,31.3750441,1991.667129,1992.270409,1973.693394,1863.688224,1740.292054,2147.902484
37,121.493355,31.3761492,1477.441811,1259.95548,1564.25048,1968.476129,2058.473363,1625.002593
38,121.492887,31.3759082,2222.695618,2449.449462,2264.558136,2057.725242,2308.296167,2746.170147
51,121.494835,31.3768895,1512.329065,1652.699988,1673.478216,1640.458612,1513.316494,1428.584081
52,121.494369,31.3766586,1785.280666,1754.884777,1945.331485,2137.803585,1475.44767,1496.831451
53,121.493891,31.3764422,2764.86262,2857.298155,2976.432167,3145.582136,3504.433497,3628.856498
209,121.473823,31.3694004,2053.404913,2536.995155,2512.736104,1948.080325,1128.496302,1865.397293
210,121.473973,31.3688971,903.2202999,1122.233534,1134.934157,871.5428734,1261.836963,1531.445333
211,121.474113,31.3683906,1798.610198,1924.992331,2022.803546,2017.792552,1957.61915,1638.924217
212,121.474243,31.367881,1210.166169,1305.066936,1109.226364,1331.072551,1624.592891,1903.405711
213,121.47438,31.3673737,4036.344511,4232.433363,4196.038425,4123.345711,3722.140966,3979.365158
216,121.475143,31.3708345,816.4799224,1017.427339,921.2292693,860.9681292,1085.558087,581.869306
218,121.473138,31.3702098,1002.475172,831.6031035,939.870834,1298.896554,526.3974572,710.7023595
219,121.472632,31.3700693,2123.473621,2225.667956,2002.272122,2195.800118,1759.336583,1675.555991
220,121.472128,31.3699208,2473.316526,2745.752413,2899.214784,2671.901028,3067.128417,2741.415022
221,121.471623,31.3697744,3157.826875,2973.343457,3153.746277,3355.095625,3200.042963,3058.105288
222,121.471116,31.369636,2628.596939,2634.299791,2653.339117,3001.238739,2983.612089,3259.689655
223,121.47061,31.3694933,1802.852704,1511.070531,1527.610292,1654.33523,1323.443328,1209.507108
224,121.470101,31.3693621,1546.910102,1602.565144,1499.849474,1641.780232,1097.770423,434.3788038
229,121.467578,31.368634,1041.485824,1290.012195,1123.295179,1096.094286,545.1658683,399.2149357
230,121.467073,31.3685143,1107.638841,1215.374857,1297.726515,1368.253434,1431.167232,531.6024524
231,121.466577,31.3683425,1089.680686,1235.613054,1024.902994,993.6089058,948.291644,758.1416456
232,121.46607,31.3682121,987.4464783,1067.59219,1251.25575,1027.904279,1547.50875,2025.13296
235,121.464562,31.367774,730.085611,1037.634448,878.6679458,595.9537464,762.6694223,1244.882149
271,121.48136,31.3727613,3601.30761,3476.369827,3403.800321,3957.70067,3903.718119,3473.163237
